Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       6/6           os_clock [235]
                0.00    0.00       2/2           luaD_growstack [261]
                                   1             pmain <cycle 1> [43]
-----------------------------------------------
                0.00    0.00       4/271946189     GCTM [5]
                0.00    0.00       6/271946189     luaT_gettm [148]
                0.49    0.00 271946179/271946189     luaV_execute <cycle 1> [2]
[11]     1.5    0.49    0.00 271946189         luaH_getshortstr [11]
-----------------------------------------------
                0.25    0.10 25000004/25000004     luaV_execute <cycle 1> [2]
[12]     1.1    0.25    0.10 25000004         forprep [12]
                0.10    0.00 25000004/25000004     luaV_tointeger [17]
-----------------------------------------------
                0.00    0.00       1/142866      luaX_newstring [89]
                0.00    0.00       1/142866      lua_pushstring [108]
                0.00    0.00       1/142866      lua_newuserdatauv [109]
                0.00    0.00       1/142866      luaL_getsubtable [94]
                0.00    0.00       1/142866      luaopen_debug [85]
                0.00    0.00       1/142866      luaopen_package [32]
                0.00    0.00       1/142866      luaopen_string [76]
                0.00    0.00       1/142866      luaopen_table [86]
                0.01    0.19  142858/142866      luaV_execute <cycle 1> [2]
[13]     0.6    0.01    0.19  142866         luaC_step [13]
                0.03    0.12  714295/714299      dothecall [15]
                0.00    0.04  142859/142860      atomic [27]
                0.00    0.00      33/286012      reallymarkobject [51]
                0.00    0.00  142859/142860      finishgencycle [179]
                0.00    0.00  142859/142868      luaE_setdebt [177]
-----------------------------------------------
                0.20    0.00 35000103/35000103     luaV_execute <cycle 1> [2]
[14]     0.6    0.20    0.00 35000103         luaT_getvarargs [14]
-----------------------------------------------
                0.00    0.00       4/714299      luaD_rawrunprotected <cycle 1> [33]
                0.03    0.12  714295/714299      luaC_step [13]
[15]     0.5    0.03    0.12  714299         dothecall [15]
                0.06    0.02 19999991/20000430     luaM_free_ [18]
                0.04    0.00 19999991/20000290     freeobj [26]
                0.00    0.00       1/21          luaH_free [121]
-----------------------------------------------
                0.00    0.00       1/10000002     luaF_close [147]
                0.11    0.00 10000001/10000002     luaV_execute <cycle 1> [2]
[16]     0.3    0.11    0.00 10000002         luaF_closeupval [16]
-----------------------------------------------
                0.10    0.00 25000004/25000004     forprep [12]
[17]     0.3    0.10    0.00 25000004         luaV_tointeger [17]
-----------------------------------------------
                0.00    0.00       3/20000430     luaD_protectedparser <cycle 1> [58]
                0.00    0.00       3/20000430     sweep2old [140]
                0.00    0.00      21/20000430     luaH_newkey <cycle 4> [63]
                0.00    0.00      35/20000430     close_state [3]
                0.00    0.00      39/20000430     luaH_free [121]
                0.00    0.00      42/20000430     luaF_freeproto [120]
                0.00    0.00     296/20000430     luaC_freeallobjects [4]
                0.06    0.02 19999991/20000430     dothecall [15]
[18]     0.2    0.06    0.02 20000430         luaM_free_ [18]
                0.02    0.00 20000430/40000947     l_alloc [25]
-----------------------------------------------
                0.00    0.00       1/20000290     luaF_initupvals [155]
                0.00    0.00       4/20000290     luaS_newudata [146]
                0.00    0.00       6/20000290     luaF_newproto [138]
                0.00    0.00       7/20000290     luaF_newCclosure [48]
                0.00    0.00       8/20000290     luaS_newlstr [136]
                0.00    0.00      21/20000290     luaH_new [127]
                0.00    0.00     236/20000290     internshrstr [110]
                0.02    0.03 10000001/20000290     luaF_findupval [20]
                0.02    0.03 10000006/20000290     luaF_newLclosure [23]
[19]     0.2    0.03    0.05 20000290         luaC_newobj [19]
                0.03    0.02 20000290/20000364     luaM_malloc_ [24]
-----------------------------------------------
                0.04    0.04 10000001/10000001     luaV_execute <cycle 1> [2]
[20]     0.2    0.04    0.04 10000001         luaF_findupval [20]
                0.02    0.03 10000001/20000290     luaC_newobj [19]
-----------------------------------------------
                                                 <spontaneous>
[21]     0.2    0.08    0.00                 unroll [21]
-----------------------------------------------
                0.01    0.00       1/12          luaH_newkey <cycle 4> [63]
                0.01    0.00       1/12          luaH_getn [68]
                0.01    0.00       2/12          addk [46]
                0.01    0.00       2/12          lua_rawgeti [53]
                0.03    0.00       6/12          luaH_setint [28]
[22]     0.2    0.06    0.00      12         luaH_getint [22]
-----------------------------------------------
                0.00    0.00       1/10000006     luaY_parser [35]
                0.02    0.04 10000005/10000006     luaV_execute <cycle 1> [2]
[23]     0.2    0.02    0.04 10000006         luaF_newLclosure [23]
                0.02    0.03 10000006/20000290     luaC_newobj [19]
-----------------------------------------------
                0.00    0.00       1/20000364     stack_init [161]
                0.00    0.00       1/20000364     luaS_init [154]
                0.00    0.00      33/20000364     luaE_extendCI [128]
                0.00    0.00      39/20000364     luaH_resize <cycle 4> [123]
                0.03    0.02 20000290/20000364     luaC_newobj [19]
[24]     0.2    0.03    0.02 20000364         luaM_malloc_ [24]
                0.02    0.00 20000364/40000947     l_alloc [25]
-----------------------------------------------
                0.00    0.00       1/40000947     lua_newstate [6]
                0.00    0.00     152/40000947     luaM_realloc_ [122]
                0.02    0.00 20000364/40000947     luaM_malloc_ [24]
                0.02    0.00 20000430/40000947     luaM_free_ [18]
[25]     0.1    0.04    0.00 40000947         l_alloc [25]
-----------------------------------------------
                0.00    0.00       3/20000290     sweep2old [140]
                0.00    0.00     296/20000290     luaC_freeallobjects [4]
                0.04    0.00 19999991/20000290     dothecall [15]
[26]     0.1    0.04    0.00 20000290         freeobj [26]
                0.00    0.00     236/236         luaS_remove [181]
-----------------------------------------------
                0.00    0.00       1/142860      entergen [113]
                0.00    0.04  142859/142860      luaC_step [13]
